moduuli,element,itemId,kind,itemType,state,title,body1,body2,url,startTime,endTime,isRecording,metaTitle,otherEntryLabel,Mitä näytetään,mitä tallennetaan
Auta tutkijaa,item,6ef34957-41e7-487e-aa0c-a40c93ed9251,prompt,choice,,Murretaustani,"Valitse yltä maakunta tai alue, joka on eniten vaikuttanut sinun tapaasi puhua.",,39-6780835ec286469a1be,,,FALSE,,,,data
,item,9047fc06-da65-46fa-b6e4-edb5946a19e6,media,image,,Kiitämmä!,Tutkijat ja suomen kieli hyötyvät näiden tietojen kertomisesta.,Sitten siirrytään hurmaushommiin.,39-6780835ec286469a1be,,,FALSE,empty,,,"Mukavaa, jos vastasit taustatietoihin. Tutkijat ja suomen kieli kiittävät.

Sitten eteenpäin."
Lahjoita 3/8,item,37dc920a-d369-47cf-95df-64a6ab6a4326,media,yle-video,,Lirkuttele lomakuvista,Tuore ihastuksesi esittelee matkakuviaan. Tee vaikutus häneen ja kysele kuvista.,"Näet matkakuvat videolla, kun painat Äänitä-nappia.",1-50645616,,,TRUE,,,,ääni
,state,,,,start,inherit,inherit,inherit,39-7214275f688499e5c91,,,,,,,
,state,,,,recording,Lirkuttele lomakuvista,Kysele ihastukseltasi hänen reissustaan.,"Video kestää reilun minuutin. Kun olet valmis, paina Lopeta äänitys.",,,,,,,,
,state,,,,finish,Hienosti udeltu!,Nostit taas pisteitäsi :),Seuraavaksi laitetaan vaatetta päälle.,39-7263245f7ae8324bef7,,,,,,,
Lahjoita 4/8,item,d64c4f78-9f43-4ec9-867a-147480cc5932,media,image,,Kerrospukeutumisen koreografia,Olet lähdössä ulos paukkupakkasiin.,"Selosta, missä järjestyksessä puet päälle nämä tamineet.",39-7263155f7ae07ac3a74,,,TRUE,,,,ääni
,state,,,,recording,Kerrospukeutumisen koreografia,"Mikä vaate ensin, mikä sitten?",,39-7263155f7ae07ac3a74,,,,,,,
,state,,,,finish,Kyä ny tarkenee!,Sitten taas muutama pieni tieto tutkijoille.,,39-7263155f7ae07ac3a74,,,,,,,
Auta tutkijaa,item,fa3ecb10-1128-4c8c-a838-600a0faadc2e,prompt,multi-choice,,Äidinkieleni,"Jos sinulla on lapsesta asti ollut kaksi äidinkieltä, voit merkitä kummankin.",,39-6780895ec2876bc6b15,,,FALSE,,,,data
Auta tutkijaa,item,e3264046-a642-46de-a9e7-c55933ee3739,prompt,choice,,Ikäni,,,39-6780905ec2876c0f863,,,FALSE,,,,data
Auta tutkijaa,item,8bbb8e5d-56a2-4082-9429-233ff2a5e53f,prompt,choice,,Sukupuoleni,,,39-6780915ec2876cc2128,,,FALSE,,,,data
Lahjoita 5/8,item,4b568b66-21a7-4f6d-9fc6-867586a8a186,media,yle-video,,Kuvaile kesänviettoa,"Saat ulkoavaruudesta vieraita, joilla on videokuvaa suomalaisesta kesänvietosta.","Selosta heille, mitä videon tilanteissa tapahtuu. Video alkaa, kun painat Äänitä.",1-50531498,,,TRUE,,,,ääni
,state,,,,start,inherit,inherit,inherit,39-6771655ebe98cd8862a,,,,,,,
,state,,,,recording,Kuvaile kesänviettoa,Video kestää 2 minuuttia. ,"Kun olet valmis, paina Lopeta äänitys.",,,,,,,,
,state,,,,finish,Erinomaista selostusta!,Näin saatiin Suomen suvi maailmankaikkeuden kartalle.,"Mutta hei, nyt taitaa puhelin soida.",39-6771765ebe9b3d4d9cc,,,,,,,
Lahjoita 6/8,item,777fc21f-691c-4355-8218-6bd3c47eb3b8,media,image,,Onko ilmoja piisannu?,"Tätisi Kanarialta soittaa kyselläkseen kuulumisia. Sää on hänen lempiaiheensa.
",Miten kuvailet hänelle tämän ja eilisen päivän säätä? ,39-7214225f6882b095987,,,TRUE,,,,ääni
,state,,,,recording,Onko ilmoja piisannu?,Kuvaile Kanarian-tädillesi tämän ja eilisen päivän säätä. ,Voit kertoa myös viime päivien havainnoistasi luonnossa.,39-7214225f6882b095987,,,,,,,
,state,,,,finish,"Olipa kiva kuulla, kiitos!",Tätisi on taas ajan tasalla kotimaan keleistä.,Seuraavaksi kyselemme kuvien avulla tämän päivän tunnelmistasi.,39-7214225f6882b095987,,,,,,,
Lahjoita 7/8,item,b7211934-49ce-466f-96cc-2f23c94662a5,media,yle-video,,#päivänfiilis,"Näet videolla neljä kuvaparia. Kerro, kumpi kuvista sopii paremmin tämänhetkiseen mielentilaasi.",Video käynnistyy Äänitä-napista.,1-50645629,,,TRUE,,,,ääni
,state,,,,start,inherit,inherit,inherit,39-7258625f76ff79c9b07,,,,,,,
,state,,,,recording,#päivänfiilis,Jokaista kuvaparia (4 kpl) näytetään 15 sekuntia. ,Voit jatkaa puhumista vielä videon loputtua.,,,,,,,,
,state,,,,finish,"Huu, kiinnostavaa!",Lähdetään sitten luontoon ruoan perässä.,,39-7259455f771294b5ba5,,,,,,,
Lahjoita 8/8,item,641148e9-7dd9-4ded-ac50-1830863893e3,media,image,,"Keräillen ja metsästäen
","Oletko käynyt sienessä, marjassa, kalassa tai metsästämässä? 
",Mikä on ollut päräyttävin reissusi luontoäidin ruokakomerossa? ,39-7263205f7ae37f1ad1e,,,TRUE,,,,ääni
,state,,,,recording,"Keräillen ja metsästäen
",Kerro ruoanhakuretkistäsi luonnossa.,Kalavaleet sallittuja!,39-7263205f7ae37f1ad1e,,,,,,,
,state,,,,finish,Jo oli antimet!,Lopuksi vielä muutama taustakysymys – kiitos jos vastaat.,,39-7263215f7ae4b9e82e2,,,,,,,
Auta tutkijaa,item,626d3fb5-6b82-4d5d-bdde-1637e571ca28,prompt,super-choice,,Asuinpaikkani,Valikossa ovat Suomen kunnat. Löydät omasi nopeimmin kirjoittamalla nimen alkua.,,39-7179045f5b5eb1e365a,,,FALSE,,"Jos asut Suomen ulkopuolella, kirjoita alle maan nimi.",,
Auta tutkijaa,item,dad311ea-3e7f-4d16-b76b-0c94aaf9fc73,prompt,super-choice,,Synnyinpaikkani,Valikossa ovat Suomen nykyiset ja entiset kunnat. ,,39-7179005f5b5eb13f8fd,,,FALSE,,"Jos synnyit Suomen ulkopuolella, kirjoita alle maan nimi.",,
Auta tutkijaa,item,88acf16d-9180-47ef-a003-e1571048c701,prompt,text,,Ammattini,Kirjoita ammattisi.,"Esimerkiksi myyjä, maanviljelijä, opiskelija, eläkeläinen.",39-7179025f5b5eb17919b,,,FALSE,,,,
Auta tutkijaa,item,5103c614-1df4-4ffd-a670-30ef78e0a613,prompt,choice,,Koulutustaustani,Valitse valikosta.,,39-7179035f5b5eb1c6468,,,FALSE,,,,
,item,365c78ae-0ff3-4331-99df-9a8c18ba6e7f,prompt,text,,Osallistuitko yrityshaasteeseen?,Kirjoita yrityksesi tai yhteisösi #-alkuinen tunnus. ,,39-7179015f5b5eb15c4b7,,,FALSE,empty,,,
Kutsu kaveri,schedule,,media,image,finish,Kiitos kaunis!,Sinun avullasi arki ja asiointi suomeksi puhumalla helpottuvat.        ,"Jos juttua riittää, valitse vielä toinen aihe ja lahjoita lisää! Haasta myös ystäväsi lahjoittamaan puhetta.",39-6762015ebd469bb22fd,,,FALSE,,,,ei mitään
teemanvalinta-sivun pikkukuva,theme,,,,,,,,39-7267615f7c24090a5a3,,,,,,,
jakoteksti,,,,,,,,,,,,,,,,
