moduuli,element,itemId,kind,itemType,state,title,body1,body2,url,startTime,endTime,isRecording,metaTitle,otherEntryLabel,HUOM,kuva / videon nimi Areenassa
Lahjoita 5/6,state,,media,image,finish,Hyvä! ,Sitten voit taas auttaa tutkijoita yhdellä tiedolla.,,39-6772175ebead0f6a3f7,,,,,,,
Auta tutkijaa ,item,fa3ecb10-1128-4c8c-a838-600a0faadc2e,prompt,multi-choice,,Äidinkieleni,"Jos sinulla on lapsesta asti ollut kaksi äidinkieltä, voit merkitä kummankin.",,39-6780895ec2876bc6b15,,,,,,,
,item,38fd137b-bbda-43cf-ad46-6999a56645c0,media,image,,Kiitos! Tack! Spasibo! ,"Ihanaa, että tänne kertyy puhetta suomea äidinkielenään puhuvilta – ja myös muilta.",,39-6780895ec2876bc6b15,,,FALSE,empty,,moduulinimi Katso tai kuuntele POIS,
Katso tai kuuntele,item,f748be56-b9b1-4485-b423-8abe07c661a4,media,yle-video,,Kodikkuudesta,Kodikkuus syntyy monesta eri asiasta. Myös kodin esineistä.,Mistä sinun mielestäsi syntyy kodikkuus?,1-50526458,,,FALSE,,,,Lahjoita puhetta Anna 8
Lahjoita 6/6,item,f589f9e2-3fef-45d5-8286-b701a1fb0bbd,media,image,,Mistä kodikkuus syntyy?,Puhu ja pulise niin kauan kuin haluat.,,39-6772205ebead109d66a,,,TRUE,,,,
Lahjoita 4/6,state,,media,image,finish,Hyvin kerrottu!,"Jos haluat, voit vielä kertoa tutkijoille neljä pientä taustatietoa.",Näistäkään ei sinua voi tunnistaa.,39-6772205ebead109d66a,,,,,,,
Auta tutkijaa,item,626d3fb5-6b82-4d5d-bdde-1637e571ca28,prompt,super-choice,,Asuinpaikkani,Valikossa ovat Suomen kunnat. Löydät omasi nopeimmin kirjoittamalla nimen alkua.,,39-7179045f5b5eb1e365a,,,,,"Jos asut Suomen ulkopuolella, kirjoita alle maan nimi.",Body1 ja Body2-kentät tulevat pudotusvalikon ja avokentän väliin.,
Auta tutkijaa,item,dad311ea-3e7f-4d16-b76b-0c94aaf9fc73,prompt,super-choice,,Synnyinpaikkani,Valikossa ovat Suomen nykyiset ja entiset kunnat. ,,39-7179005f5b5eb13f8fd,,,,,"Jos synnyit Suomen ulkopuolella, kirjoita alle maan nimi.",Body1 ja Body2-kentät tulevat pudotusvalikon ja avokentän väliin.,
Auta tutkijaa,item,88acf16d-9180-47ef-a003-e1571048c701,prompt,text,,Ammattini,Kirjoita ammattisi.,"Esimerkiksi myyjä, maanviljelijä, opiskelija, eläkeläinen.",39-7179025f5b5eb17919b,,,,,,"Onnistuuko?: body1-kenttä ensin, sitten avokenttä, jonka alle body 2-teksti.",
Auta tutkijaa,item,5103c614-1df4-4ffd-a670-30ef78e0a613,prompt,choice,,Koulutustaustani,Valitse valikosta.,,39-7179035f5b5eb1c6468,,,,,,"Valikkoon nämä 4:
Peruskoulu (tai vastaava)
Ammatillinen koulutus tai lukio
Korkeakoulu
Joku muu
",
,item,365c78ae-0ff3-4331-99df-9a8c18ba6e7f,prompt,text,,Osallistutko yrityshaasteeseen?,Kirjoita yrityksesi tai yhteisösi #-alkuinen tunnus. ,,39-7179015f5b5eb15c4b7,,,,empty,,"Toive: Ei moduulinimeä Auta tutkijaa kuvan alle, jos mahdollista (koska tässä ei varsinaisesti auteta tutkijoita). ",
Katso tai kuuntele,item,0937ca13-cc64-4965-8725-aca4a6eb18f9,media,yle-video,,"Kiitos, kun lahjoitit","Tämä juttutuokio oli pieni, mutta tärkeä osa suomen kielen puhepankkia.",Ehkä tulevaisuudessa älylaitteetkin ymmärtävät meitä vähän paremmin. ,1-50526459,,,FALSE,,,,Lahjoita puhetta Anna 9
,schedule,0598bf14-ab48-4ccb-a50c-0bd779f77933,,,finish,Hienoa – se oli siinä!,Haasta myös ystäväsi lahjoittamaan puhetta!,Tai lahjoita itse lisää juttelemalla jostain toisesta aiheesta.,39-6772215ebead1104450,,,FALSE,,,"Kiinteä viimeinen sivu (kaikissa teemoissa sama teksti) / Jere sanoo: tekstit tulevat teeman finish-tilasta, tai jos niitä ei ole, niin oletustekstit. Mukana Lahjoita lisää -nappi ja somejakonapit (web), tai mobiilissa Kutsu kaveri (josta aukeaa share sheet) sekä Lahjoita lisää -nappi.
Katja: Eikö tähän ollut tarkoitus tulla myös se kokonaisaika (jos lahjoittanut yli 2 min.)??? Joka tulisi myös somejakotekstiin??",
teemanvalinta-sivun pikkukuva,theme,,media,image,,,,,39-7258085f76f5c430133,,,,,,"Juontaja Anna Karhusen kasvot - testattava, miten istuu pikkuruutuun!",
